11:28:21 [INFO] __main__: ============================================================
11:28:21 [INFO] __main__: MFT Backtesting Framework
11:28:21 [INFO] __main__: Strategy: ATM Straddle on NIFTY + BANKNIFTY
11:28:21 [INFO] __main__: Data: /home/keshav-goel/Desktop/intern/mft/allData
11:28:21 [INFO] __main__: ============================================================
11:28:21 [INFO] backtester.data_loader: Discovered 21 trading days
11:28:21 [INFO] backtester.backtester: ============================================================
11:28:21 [INFO] backtester.backtester: BACKTEST START — 21 trading days
11:28:22 [INFO] backtester.data_loader: Loaded 7893 option ticks from BANKNIFTY22110338000PE.csv
11:28:22 [INFO] backtester.data_loader: Loaded 2536 option ticks from BANKNIFTY22110338100PE.csv
11:28:22 [INFO] backtester.data_loader: Loaded 3239 option ticks from BANKNIFTY22110338200PE.csv
11:28:22 [INFO] backtester.data_loader: Loaded 4526 option ticks from BANKNIFTY22110338300PE.csv
11:28:22 [INFO] backtester.data_loader: Loaded 3752 option ticks from BANKNIFTY22110338400PE.csv
11:28:22 [INFO] backtester.data_loader: Loaded 41 option ticks from BANKNIFTY22110338500CE.csv
11:28:22 [INFO] backtester.data_loader: Loaded 9184 option ticks from BANKNIFTY22110338500PE.csv
11:28:22 [INFO] backtester.data_loader: Loaded 2 option ticks from BANKNIFTY22110338600CE.csv
11:28:22 [INFO] backtester.data_loader: Loaded 4204 option ticks from BANKNIFTY22110338600PE.csv
11:28:23 [INFO] backtester.data_loader: Loaded 4246 option ticks from BANKNIFTY22110338700PE.csv
11:28:23 [INFO] backtester.data_loader: Loaded 2 option ticks from BANKNIFTY22110338800CE.csv
11:28:23 [INFO] backtester.data_loader: Loaded 5367 option ticks from BANKNIFTY22110338800PE.csv
11:28:23 [INFO] backtester.data_loader: Loaded 2 option ticks from BANKNIFTY22110338900CE.csv
11:28:23 [INFO] backtester.data_loader: Loaded 6183 option ticks from BANKNIFTY22110338900PE.csv
11:28:23 [INFO] backtester.data_loader: Loaded 92 option ticks from BANKNIFTY22110339000CE.csv
11:28:23 [INFO] backtester.data_loader: Loaded 12912 option ticks from BANKNIFTY22110339000PE.csv
11:28:23 [INFO] backtester.data_loader: Loaded 6 option ticks from BANKNIFTY22110339100CE.csv
11:28:23 [INFO] backtester.data_loader: Loaded 6703 option ticks from BANKNIFTY22110339100PE.csv
11:28:23 [INFO] backtester.data_loader: Loaded 5 option ticks from BANKNIFTY22110339200CE.csv
11:28:23 [INFO] backtester.data_loader: Loaded 7291 option ticks from BANKNIFTY22110339200PE.csv
11:28:23 [INFO] backtester.data_loader: Loaded 6 option ticks from BANKNIFTY22110339300CE.csv
11:28:23 [INFO] backtester.data_loader: Loaded 8647 option ticks from BANKNIFTY22110339300PE.csv
11:28:23 [INFO] backtester.data_loader: Loaded 3 option ticks from BANKNIFTY22110339400CE.csv
11:28:23 [INFO] backtester.data_loader: Loaded 10098 option ticks from BANKNIFTY22110339400PE.csv
11:28:23 [INFO] backtester.data_loader: Loaded 202 option ticks from BANKNIFTY22110339500CE.csv
11:28:24 [INFO] backtester.data_loader: Loaded 15040 option ticks from BANKNIFTY22110339500PE.csv
11:28:24 [INFO] backtester.data_loader: Loaded 28 option ticks from BANKNIFTY22110339600CE.csv
11:28:24 [INFO] backtester.data_loader: Loaded 11838 option ticks from BANKNIFTY22110339600PE.csv
11:28:24 [INFO] backtester.data_loader: Loaded 21 option ticks from BANKNIFTY22110339700CE.csv
11:28:24 [INFO] backtester.data_loader: Loaded 12629 option ticks from BANKNIFTY22110339700PE.csv
11:28:24 [INFO] backtester.data_loader: Loaded 151 option ticks from BANKNIFTY22110339800CE.csv
11:28:24 [INFO] backtester.data_loader: Loaded 13871 option ticks from BANKNIFTY22110339800PE.csv
11:28:24 [INFO] backtester.data_loader: Loaded 74 option ticks from BANKNIFTY22110339900CE.csv
11:28:24 [INFO] backtester.data_loader: Loaded 14828 option ticks from BANKNIFTY22110339900PE.csv
11:28:24 [INFO] backtester.data_loader: Loaded 1730 option ticks from BANKNIFTY22110340000CE.csv
11:28:25 [INFO] backtester.data_loader: Loaded 19500 option ticks from BANKNIFTY22110340000PE.csv
11:28:25 [INFO] backtester.data_loader: Loaded 218 option ticks from BANKNIFTY22110340100CE.csv
11:28:25 [INFO] backtester.data_loader: Loaded 16614 option ticks from BANKNIFTY22110340100PE.csv
11:28:25 [INFO] backtester.data_loader: Loaded 462 option ticks from BANKNIFTY22110340200CE.csv
11:28:25 [INFO] backtester.data_loader: Loaded 17345 option ticks from BANKNIFTY22110340200PE.csv
11:28:25 [INFO] backtester.data_loader: Loaded 527 option ticks from BANKNIFTY22110340300CE.csv
11:28:25 [INFO] backtester.data_loader: Loaded 17959 option ticks from BANKNIFTY22110340300PE.csv
11:28:25 [INFO] backtester.data_loader: Loaded 761 option ticks from BANKNIFTY22110340400CE.csv
11:28:25 [INFO] backtester.data_loader: Loaded 18543 option ticks from BANKNIFTY22110340400PE.csv
11:28:26 [INFO] backtester.data_loader: Loaded 4841 option ticks from BANKNIFTY22110340500CE.csv
11:28:26 [INFO] backtester.data_loader: Loaded 20991 option ticks from BANKNIFTY22110340500PE.csv
11:28:26 [INFO] backtester.data_loader: Loaded 1640 option ticks from BANKNIFTY22110340600CE.csv
11:28:26 [INFO] backtester.data_loader: Loaded 19619 option ticks from BANKNIFTY22110340600PE.csv
11:28:26 [INFO] backtester.data_loader: Loaded 2952 option ticks from BANKNIFTY22110340700CE.csv
11:28:26 [INFO] backtester.data_loader: Loaded 20171 option ticks from BANKNIFTY22110340700PE.csv
11:28:27 [INFO] backtester.data_loader: Loaded 6139 option ticks from BANKNIFTY22110340800CE.csv
11:28:27 [INFO] backtester.data_loader: Loaded 20850 option ticks from BANKNIFTY22110340800PE.csv
11:28:27 [INFO] backtester.data_loader: Loaded 7618 option ticks from BANKNIFTY22110340900CE.csv
11:28:27 [INFO] backtester.data_loader: Loaded 20837 option ticks from BANKNIFTY22110340900PE.csv
11:28:27 [INFO] backtester.data_loader: Loaded 18640 option ticks from BANKNIFTY22110341000CE.csv
11:28:28 [INFO] backtester.data_loader: Loaded 22210 option ticks from BANKNIFTY22110341000PE.csv
11:28:28 [INFO] backtester.data_loader: Loaded 15746 option ticks from BANKNIFTY22110341100CE.csv
11:28:28 [INFO] backtester.data_loader: Loaded 21428 option ticks from BANKNIFTY22110341100PE.csv
11:28:29 [INFO] backtester.data_loader: Loaded 20297 option ticks from BANKNIFTY22110341200CE.csv
11:28:29 [INFO] backtester.data_loader: Loaded 22088 option ticks from BANKNIFTY22110341200PE.csv
11:28:29 [INFO] backtester.data_loader: Loaded 21815 option ticks from BANKNIFTY22110341300CE.csv
11:28:29 [INFO] backtester.data_loader: Loaded 22123 option ticks from BANKNIFTY22110341300PE.csv
11:28:30 [INFO] backtester.data_loader: Loaded 22017 option ticks from BANKNIFTY22110341400CE.csv
11:28:30 [INFO] backtester.data_loader: Loaded 22229 option ticks from BANKNIFTY22110341400PE.csv
11:28:30 [INFO] backtester.data_loader: Loaded 22433 option ticks from BANKNIFTY22110341500CE.csv
11:28:31 [INFO] backtester.data_loader: Loaded 22433 option ticks from BANKNIFTY22110341500PE.csv
11:28:31 [INFO] backtester.data_loader: Loaded 22434 option ticks from BANKNIFTY22110341600CE.csv
11:28:31 [INFO] backtester.data_loader: Loaded 22142 option ticks from BANKNIFTY22110341600PE.csv
11:28:31 [INFO] backtester.data_loader: Loaded 22319 option ticks from BANKNIFTY22110341700CE.csv
11:28:32 [INFO] backtester.data_loader: Loaded 21400 option ticks from BANKNIFTY22110341700PE.csv
11:28:32 [INFO] backtester.data_loader: Loaded 22228 option ticks from BANKNIFTY22110341800CE.csv
11:28:32 [INFO] backtester.data_loader: Loaded 20048 option ticks from BANKNIFTY22110341800PE.csv
11:28:33 [INFO] backtester.data_loader: Loaded 21789 option ticks from BANKNIFTY22110341900CE.csv
11:28:33 [INFO] backtester.data_loader: Loaded 15421 option ticks from BANKNIFTY22110341900PE.csv
11:28:33 [INFO] backtester.data_loader: Loaded 22331 option ticks from BANKNIFTY22110342000CE.csv
11:28:33 [INFO] backtester.data_loader: Loaded 17243 option ticks from BANKNIFTY22110342000PE.csv
11:28:33 [INFO] backtester.data_loader: Loaded 21204 option ticks from BANKNIFTY22110342100CE.csv
11:28:34 [INFO] backtester.data_loader: Loaded 4543 option ticks from BANKNIFTY22110342100PE.csv
11:28:34 [INFO] backtester.data_loader: Loaded 21135 option ticks from BANKNIFTY22110342200CE.csv
11:28:34 [INFO] backtester.data_loader: Loaded 3947 option ticks from BANKNIFTY22110342200PE.csv
11:28:34 [INFO] backtester.data_loader: Loaded 20820 option ticks from BANKNIFTY22110342300CE.csv
11:28:34 [INFO] backtester.data_loader: Loaded 1894 option ticks from BANKNIFTY22110342300PE.csv
11:28:35 [INFO] backtester.data_loader: Loaded 20493 option ticks from BANKNIFTY22110342400CE.csv
11:28:35 [INFO] backtester.data_loader: Loaded 889 option ticks from BANKNIFTY22110342400PE.csv
11:28:35 [INFO] backtester.data_loader: Loaded 21160 option ticks from BANKNIFTY22110342500CE.csv
11:28:35 [INFO] backtester.data_loader: Loaded 3406 option ticks from BANKNIFTY22110342500PE.csv
11:28:35 [INFO] backtester.data_loader: Loaded 18942 option ticks from BANKNIFTY22110342600CE.csv
11:28:35 [INFO] backtester.data_loader: Loaded 451 option ticks from BANKNIFTY22110342600PE.csv
11:28:35 [INFO] backtester.data_loader: Loaded 18467 option ticks from BANKNIFTY22110342700CE.csv
11:28:35 [INFO] backtester.data_loader: Loaded 158 option ticks from BANKNIFTY22110342700PE.csv
11:28:36 [INFO] backtester.data_loader: Loaded 17134 option ticks from BANKNIFTY22110342800CE.csv
11:28:36 [INFO] backtester.data_loader: Loaded 138 option ticks from BANKNIFTY22110342800PE.csv
11:28:36 [INFO] backtester.data_loader: Loaded 15376 option ticks from BANKNIFTY22110342900CE.csv
11:28:36 [INFO] backtester.data_loader: Loaded 28 option ticks from BANKNIFTY22110342900PE.csv
11:28:36 [INFO] backtester.data_loader: Loaded 18072 option ticks from BANKNIFTY22110343000CE.csv
11:28:36 [INFO] backtester.data_loader: Loaded 630 option ticks from BANKNIFTY22110343000PE.csv
11:28:36 [INFO] backtester.data_loader: Loaded 12533 option ticks from BANKNIFTY22110343100CE.csv
11:28:36 [INFO] backtester.data_loader: Loaded 21 option ticks from BANKNIFTY22110343100PE.csv
11:28:36 [INFO] backtester.data_loader: Loaded 11672 option ticks from BANKNIFTY22110343200CE.csv
11:28:36 [INFO] backtester.data_loader: Loaded 3 option ticks from BANKNIFTY22110343200PE.csv
11:28:36 [INFO] backtester.data_loader: Loaded 10265 option ticks from BANKNIFTY22110343300CE.csv
11:28:37 [INFO] backtester.data_loader: Loaded 8767 option ticks from BANKNIFTY22110343400CE.csv
11:28:37 [INFO] backtester.data_loader: Loaded 13466 option ticks from BANKNIFTY22110343500CE.csv
11:28:37 [INFO] backtester.data_loader: Loaded 58 option ticks from BANKNIFTY22110343500PE.csv
11:28:37 [INFO] backtester.data_loader: Loaded 5944 option ticks from BANKNIFTY22110343600CE.csv
11:28:37 [INFO] backtester.data_loader: Loaded 5325 option ticks from BANKNIFTY22110343700CE.csv
11:28:37 [INFO] backtester.data_loader: Loaded 2 option ticks from BANKNIFTY22110343700PE.csv
11:28:37 [INFO] backtester.data_loader: Loaded 5348 option ticks from BANKNIFTY22110343800CE.csv
11:28:37 [INFO] backtester.data_loader: Loaded 5067 option ticks from BANKNIFTY22110343900CE.csv
11:28:37 [INFO] backtester.data_loader: Loaded 11198 option ticks from BANKNIFTY22110344000CE.csv
11:28:37 [INFO] backtester.data_loader: Loaded 4 option ticks from BANKNIFTY22110344000PE.csv
11:28:37 [INFO] backtester.data_loader: Loaded 4056 option ticks from BANKNIFTY22110344100CE.csv
11:28:37 [INFO] backtester.data_loader: Loaded 3620 option ticks from BANKNIFTY22110344200CE.csv
11:28:37 [INFO] backtester.data_loader: Loaded 4678 option ticks from BANKNIFTY22110344300CE.csv
11:28:37 [INFO] backtester.data_loader: Loaded 3702 option ticks from BANKNIFTY22110344400CE.csv
11:28:37 [INFO] backtester.data_loader: Loaded 8389 option ticks from BANKNIFTY22110344500CE.csv
11:28:37 [INFO] backtester.data_loader: Loaded 2 option ticks from BANKNIFTY22110344500PE.csv
11:28:37 [INFO] backtester.data_loader: Loaded 3761 option ticks from BANKNIFTY22110344600CE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 7393 option ticks from BANKNIFTY22110345000CE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 5421 option ticks from BANKNIFTY22110345500CE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 4694 option ticks from BANKNIFTY22110346000CE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 5740 option ticks from BANKNIFTY22110346500CE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 210 option ticks from NIFTY22110314550PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 52 option ticks from NIFTY22110314600PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 36 option ticks from NIFTY22110314650PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 49 option ticks from NIFTY22110314700PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 47 option ticks from NIFTY22110314750PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 28 option ticks from NIFTY22110314800PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 51 option ticks from NIFTY22110314850PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 16 option ticks from NIFTY22110314900PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 40 option ticks from NIFTY22110314950PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 5 option ticks from NIFTY22110315000CE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 314 option ticks from NIFTY22110315000PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 16 option ticks from NIFTY22110315050PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 12 option ticks from NIFTY22110315100PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 4 option ticks from NIFTY22110315150PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 11 option ticks from NIFTY22110315200PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 3 option ticks from NIFTY22110315250PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 19 option ticks from NIFTY22110315300PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 44 option ticks from NIFTY22110315350PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 53 option ticks from NIFTY22110315400PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 21 option ticks from NIFTY22110315450PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 1502 option ticks from NIFTY22110315500PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 23 option ticks from NIFTY22110315550PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 106 option ticks from NIFTY22110315600PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 26 option ticks from NIFTY22110315650PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 316 option ticks from NIFTY22110315700PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 57 option ticks from NIFTY22110315750PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 555 option ticks from NIFTY22110315800PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 32 option ticks from NIFTY22110315850PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 280 option ticks from NIFTY22110315900PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 102 option ticks from NIFTY22110315950PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 4 option ticks from NIFTY22110316000CE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 2237 option ticks from NIFTY22110316000PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 51 option ticks from NIFTY22110316050PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 266 option ticks from NIFTY22110316100PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 135 option ticks from NIFTY22110316150PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 645 option ticks from NIFTY22110316200PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 272 option ticks from NIFTY22110316250PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 702 option ticks from NIFTY22110316300PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 499 option ticks from NIFTY22110316350PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 8 option ticks from NIFTY22110316400CE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 792 option ticks from NIFTY22110316400PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 511 option ticks from NIFTY22110316450PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 28 option ticks from NIFTY22110316500CE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 4745 option ticks from NIFTY22110316500PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 479 option ticks from NIFTY22110316550PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 3 option ticks from NIFTY22110316600CE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 1279 option ticks from NIFTY22110316600PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 1229 option ticks from NIFTY22110316650PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 4 option ticks from NIFTY22110316700CE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 2739 option ticks from NIFTY22110316700PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 1521 option ticks from NIFTY22110316750PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 21 option ticks from NIFTY22110316800CE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 4116 option ticks from NIFTY22110316800PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 2457 option ticks from NIFTY22110316850PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 6 option ticks from NIFTY22110316900CE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 3807 option ticks from NIFTY22110316900PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 2 option ticks from NIFTY22110316950CE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 2317 option ticks from NIFTY22110316950PE.csv
11:28:38 [INFO] backtester.data_loader: Loaded 216 option ticks from NIFTY22110317000CE.csv
11:28:39 [INFO] backtester.data_loader: Loaded 9454 option ticks from NIFTY22110317000PE.csv
11:28:39 [INFO] backtester.data_loader: Loaded 6 option ticks from NIFTY22110317050CE.csv
11:28:39 [INFO] backtester.data_loader: Loaded 2469 option ticks from NIFTY22110317050PE.csv
11:28:39 [INFO] backtester.data_loader: Loaded 38 option ticks from NIFTY22110317100CE.csv
11:28:39 [INFO] backtester.data_loader: Loaded 5365 option ticks from NIFTY22110317100PE.csv
11:28:39 [INFO] backtester.data_loader: Loaded 7 option ticks from NIFTY22110317150CE.csv
11:28:39 [INFO] backtester.data_loader: Loaded 3518 option ticks from NIFTY22110317150PE.csv
11:28:39 [INFO] backtester.data_loader: Loaded 99 option ticks from NIFTY22110317200CE.csv
11:28:39 [INFO] backtester.data_loader: Loaded 7716 option ticks from NIFTY22110317200PE.csv
11:28:39 [INFO] backtester.data_loader: Loaded 20 option ticks from NIFTY22110317250CE.csv
11:28:39 [INFO] backtester.data_loader: Loaded 5132 option ticks from NIFTY22110317250PE.csv
11:28:39 [INFO] backtester.data_loader: Loaded 185 option ticks from NIFTY22110317300CE.csv
11:28:39 [INFO] backtester.data_loader: Loaded 10405 option ticks from NIFTY22110317300PE.csv
11:28:39 [INFO] backtester.data_loader: Loaded 33 option ticks from NIFTY22110317350CE.csv
11:28:39 [INFO] backtester.data_loader: Loaded 6354 option ticks from NIFTY22110317350PE.csv
11:28:39 [INFO] backtester.data_loader: Loaded 316 option ticks from NIFTY22110317400CE.csv
11:28:39 [INFO] backtester.data_loader: Loaded 10969 option ticks from NIFTY22110317400PE.csv
11:28:39 [INFO] backtester.data_loader: Loaded 96 option ticks from NIFTY22110317450CE.csv
11:28:39 [INFO] backtester.data_loader: Loaded 7997 option ticks from NIFTY22110317450PE.csv
11:28:39 [INFO] backtester.data_loader: Loaded 1419 option ticks from NIFTY22110317500CE.csv
11:28:40 [INFO] backtester.data_loader: Loaded 15073 option ticks from NIFTY22110317500PE.csv
11:28:40 [INFO] backtester.data_loader: Loaded 132 option ticks from NIFTY22110317550CE.csv
11:28:40 [INFO] backtester.data_loader: Loaded 10901 option ticks from NIFTY22110317550PE.csv
11:28:40 [INFO] backtester.data_loader: Loaded 1314 option ticks from NIFTY22110317600CE.csv
11:28:40 [INFO] backtester.data_loader: Loaded 16118 option ticks from NIFTY22110317600PE.csv
11:28:40 [INFO] backtester.data_loader: Loaded 544 option ticks from NIFTY22110317650CE.csv
11:28:40 [INFO] backtester.data_loader: Loaded 14582 option ticks from NIFTY22110317650PE.csv
11:28:40 [INFO] backtester.data_loader: Loaded 5334 option ticks from NIFTY22110317700CE.csv
11:28:40 [INFO] backtester.data_loader: Loaded 19215 option ticks from NIFTY22110317700PE.csv
11:28:40 [INFO] backtester.data_loader: Loaded 1961 option ticks from NIFTY22110317750CE.csv
11:28:41 [INFO] backtester.data_loader: Loaded 17552 option ticks from NIFTY22110317750PE.csv
11:28:41 [INFO] backtester.data_loader: Loaded 9410 option ticks from NIFTY22110317800CE.csv
11:28:41 [INFO] backtester.data_loader: Loaded 20551 option ticks from NIFTY22110317800PE.csv
11:28:41 [INFO] backtester.data_loader: Loaded 3787 option ticks from NIFTY22110317850CE.csv
11:28:41 [INFO] backtester.data_loader: Loaded 18701 option ticks from NIFTY22110317850PE.csv
11:28:42 [INFO] backtester.data_loader: Loaded 14371 option ticks from NIFTY22110317900CE.csv
11:28:42 [INFO] backtester.data_loader: Loaded 21631 option ticks from NIFTY22110317900PE.csv
11:28:42 [INFO] backtester.data_loader: Loaded 12817 option ticks from NIFTY22110317950CE.csv
11:28:42 [INFO] backtester.data_loader: Loaded 20556 option ticks from NIFTY22110317950PE.csv
11:28:43 [INFO] backtester.data_loader: Loaded 21417 option ticks from NIFTY22110318000CE.csv
11:28:43 [INFO] backtester.data_loader: Loaded 22317 option ticks from NIFTY22110318000PE.csv
11:28:43 [INFO] backtester.data_loader: Loaded 19232 option ticks from NIFTY22110318050CE.csv
11:28:43 [INFO] backtester.data_loader: Loaded 21550 option ticks from NIFTY22110318050PE.csv
11:28:44 [INFO] backtester.data_loader: Loaded 22268 option ticks from NIFTY22110318100CE.csv
11:28:44 [INFO] backtester.data_loader: Loaded 22413 option ticks from NIFTY22110318100PE.csv
11:28:44 [INFO] backtester.data_loader: Loaded 22235 option ticks from NIFTY22110318150CE.csv
11:28:45 [INFO] backtester.data_loader: Loaded 22158 option ticks from NIFTY22110318150PE.csv
11:28:45 [INFO] backtester.data_loader: Loaded 22307 option ticks from NIFTY22110318200CE.csv
11:28:45 [INFO] backtester.data_loader: Loaded 22086 option ticks from NIFTY22110318200PE.csv
